"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1270","I am wayyyy over dressed for this weeding! People got tennis shoes on <U+0001F926><U+0001F3FD><U+200D><U+2640><U+FE0F>",FALSE,1,NA,2019-04-20 22:02:36,FALSE,NA,"1119723065213161472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","greeneye_nel",0,FALSE,FALSE,NA,NA
"1271","Same as yesterday:

<U+0001F4FA> https://t.co/vLtXA7Lq4Y https://t.co/AQ5dtgbuZM",FALSE,3,NA,2019-04-20 22:02:31,FALSE,NA,"1119723042169479168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SunDevilMTennis",1,FALSE,FALSE,NA,NA
"1272","#Tennis  RAQUETTE DE TENNIS VINTAGE BOIS ANNEES 60/70 TUNMER GOLD STAR https://t.co/4PF6Terwnk",FALSE,0,NA,2019-04-20 22:02:17,FALSE,NA,"1119722983076048899",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ActuTennis365",0,FALSE,FALSE,NA,NA
"1274","This thing check like tennis ball https://t.co/e2yLHCy1wS",FALSE,45,NA,2019-04-20 22:02:02,FALSE,NA,"1119722922581594112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ONE_Thawzen",11,FALSE,FALSE,NA,NA
"1276","NIU Men's Tennis Downs Buffalo to Advance to MAC Final, Sunday vs. Western Michigan https://t.co/r84Vy3sQfc",FALSE,18,NA,2019-04-20 22:01:32,FALSE,NA,"1119722795439673350",NA,"<a href=""http://www.sidearmsports.com"" rel=""nofollow"">SIDEARM Sports</a>","NIUAthletics",7,FALSE,FALSE,NA,NA
"1277","@raysrugby well...Munro is a tennis player and O'Neill is on the bench.",FALSE,0,"raysrugby",2019-04-20 22:01:29,FALSE,"1119722419147759616","1119722782231654401","867208922","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheStroBro",0,FALSE,FALSE,NA,NA
"1280","I'm so excited for the newest Tennis Ace update!!!!! I'll play it tonight, and I'll let you all know when that stream is starting.",FALSE,2,NA,2019-04-20 22:01:13,FALSE,NA,"1119722714661408769",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DirkTheRedPanda",0,FALSE,FALSE,NA,NA
"1281","@msail17 @RubinReport @benshapiro @jordanbpeterson “They kiss my ass in Palm Beach. Those phonies! That club [Bath… https://t.co/DFmMbXDHAO",FALSE,2,"msail17",2019-04-20 22:01:04,TRUE,"1119715108408586241","1119722678502535169","473537026","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CaseyParksIt",0,FALSE,FALSE,NA,NA
"1283","WTA Fantasy Tennis: Stephanie Dubois makes Stuttgart 2019 picks https://t.co/HJ5jQdm72U https://t.co/B0HYCFHMq9",FALSE,0,NA,2019-04-20 22:00:59,FALSE,NA,"1119722656914386944",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","sportsusa_net",0,FALSE,FALSE,NA,NA
"1286","Never give up. #Tennis #TennisPlayer #TennisGame #Sports https://t.co/BbLTQZwpjo",FALSE,14,NA,2019-04-20 22:00:47,FALSE,NA,"1119722607815872512",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","tennisdothow",3,FALSE,FALSE,NA,NA
"1287","It you can't get to Marks today, fear not! Follow your Trojans from home with live video here --&gt; https://t.co/uEJcLt0z02
#FightOn <U+270C><U+FE0F>",FALSE,4,NA,2019-04-20 22:00:40,FALSE,NA,"1119722576027299842",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","USCMensTennis",0,FALSE,FALSE,NA,NA
"1289","@mzemek @accent_tennis I’m glad I found you",FALSE,0,"mzemek",2019-04-20 22:00:38,FALSE,"1119722216843649024","1119722568888483840","26548471","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","David4242",0,FALSE,FALSE,NA,NA
