"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"53","Almost sold out of the the satin lined baseball caps already!  <U+0001F9E2> <U+0001F44F><U+0001F3FD>#satinlinedbaseballcaps",FALSE,1,NA,2019-04-18 23:59:07,FALSE,NA,"1119027610590351363",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LinsharaeB",0,FALSE,FALSE,NA,NA
"57","How about we start by holding the baseball guys accountable for their actions<U+0001F937><U+0001F3FC><U+200D><U+2640><U+FE0F> https://t.co/v8416LjnJX",FALSE,3,NA,2019-04-18 23:59:02,FALSE,NA,"1119027590726062081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlliTheTiger",1,FALSE,FALSE,NA,NA
"59","First he had to undergo Tommy John surgery. Then, a four-wheeler accident broke his ankle. 

""I was scared if I was… https://t.co/B5Y5k8cqsb",FALSE,3,NA,2019-04-18 23:59:00,TRUE,NA,"1119027582769553408",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","dailywildcat",2,FALSE,FALSE,NA,NA
"60","Nihilist baseball coverage is absolutely my jam https://t.co/2NnwbZGJ76",FALSE,4,NA,2019-04-18 23:58:58,FALSE,NA,"1119027571239219200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianMarsters",0,FALSE,FALSE,NA,NA
"61","Baseball @GodwinPride 4 @GAJagAthletics 0 End 2",FALSE,2,NA,2019-04-18 23:58:57,FALSE,NA,"1119027569746219009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GodwinPride",1,FALSE,FALSE,NA,NA
"62","@RedRedWhine1 @TBBaseballMkt That was written to be nothing more than a lament that the best team in baseball isn't… https://t.co/0mPxELF31v",FALSE,0,"RedRedWhine1",2019-04-18 23:58:57,TRUE,"1118836970824839168","1119027567317536769","1047672122292748288","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mfdixon1985",0,FALSE,FALSE,NA,NA
"64","The Verona baseball team and Madison West are tied 1-1 going into the ninth inning. West committed two errors in th… https://t.co/kNJap6Ik3f",FALSE,0,NA,2019-04-18 23:58:56,TRUE,NA,"1119027564834643969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","veronapress",0,FALSE,FALSE,NA,NA
"65","Great day in Edmond ok lawn maintenance baseball fields and parks  give me a shout call dm or text @ Edmond, Oklaho… https://t.co/tfom7rPQWk",FALSE,0,NA,2019-04-18 23:58:55,TRUE,NA,"1119027558639722508",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","WeeCanMow",0,FALSE,FALSE,NA,NA
"66","The New York @Yankees decide to go with a different singers version of God Bless America; and the fake U.S. <U+0001F1FA><U+0001F1F8> patr… https://t.co/npWazNWoso",FALSE,0,NA,2019-04-18 23:58:54,TRUE,NA,"1119027555267428352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DexterPorter",0,FALSE,FALSE,NA,NA
"67","If you're wondering if bat flips are good for baseball, the fact people are talking about baseball in April should answer that question.",FALSE,20,NA,2019-04-18 23:58:53,FALSE,NA,"1119027549663911936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ben_Baby",1,FALSE,FALSE,NA,NA
